country,state,lat,long
afghanistan,,33.0,65.0
albania,,41.1533,20.1683
algeria,,28.0339,1.6596
andorra,,42.5063,1.5218
angola,,-11.2027,17.8739
antigua-and-barbuda,,17.0608,-61.7964
argentina,,-38.4161,-63.6167
armenia,,40.0691,45.0382
australia,australian-capital-territory,-35.4735,149.0124
australia,new-south-wales,-33.8688,151.2093
australia,northern-territory,-12.4634,130.8456
australia,queensland,-28.0167,153.4
australia,south-australia,-34.9285,138.6007
australia,tasmania,-41.4545,145.9707
australia,victoria,-37.8136,144.9631
australia,western-australia,-31.9505,115.8605
austria,,47.5162,14.5501
azerbaijan,,40.1431,47.5769
bahamas,,25.0343,-77.3963
bahrain,,26.0275,50.55
bangladesh,,23.685,90.3563
barbados,,13.1939,-59.5432
belarus,,53.7098,27.9534
belgium,,50.8333,4.0
belize,,13.1939,-59.5432
benin,,9.3077,2.3158
bhutan,,27.5142,90.4336
bolivia,,-16.2902,-63.5887
bosnia-and-herzegovina,,43.9159,17.6791
botswana,,-22.3285,24.6849
brazil,,-14.235,-51.9253
brunei,,4.5353,114.7277
bulgaria,,42.7339,25.4858
burkina-faso,,12.2383,-1.5616
burma,,21.9162,95.956
burundi,,-3.3731,29.9189
cabo-verde,,16.5388,-23.0418
cambodia,,11.55,104.9167
cameroon,,3.8480000000000003,11.5021
canada,alberta,53.9333,-116.5765
canada,british-columbia,49.2827,-123.1207
canada,diamond-princess,0.0,0.0
canada,grand-princess,37.6489,-122.6655
canada,manitoba,53.7609,-98.8139
canada,new-brunswick,46.5653,-66.4619
canada,newfoundland-and-labrador,53.1355,-57.6604
canada,northwest-territories,64.8255,-124.8457
canada,nova-scotia,44.681999999999995,-63.7443
canada,ontario,51.2538,-85.3232
canada,prince-edward-island,46.5107,-63.4168
canada,quebec,52.9399,-73.5491
canada,recovered,0.0,0.0
canada,saskatchewan,52.9399,-106.4509
canada,yukon,64.2823,-135.0
central-african-republic,,6.6111,20.9394
chad,,15.4542,18.7322
chile,,-35.6751,-71.543
china,anhui,31.8257,117.2264
china,beijing,40.1824,116.4142
china,chongqing,30.0572,107.874
china,fujian,26.0789,117.9874
china,gansu,37.8099,101.0583
china,guangdong,23.3417,113.4244
china,guangxi,23.8298,108.7881
china,guizhou,26.8154,106.8748
china,hainan,19.1959,109.7453
china,hebei,39.549,116.1306
china,heilongjiang,47.861999999999995,127.7615
china,henan,33.882,113.61399999999999
china,hong-kong,22.3,114.2
china,hubei,30.9756,112.2707
china,hunan,27.6104,111.7088
china,inner-mongolia,44.0935,113.9448
china,jiangsu,32.9711,119.455
china,jiangxi,27.614,115.7221
china,jilin,43.6661,126.1923
china,liaoning,41.2956,122.6085
china,macau,22.1667,113.55
china,ningxia,37.2692,106.1655
china,qinghai,35.7452,95.9956
china,shaanxi,35.1917,108.8701
china,shandong,36.3427,118.1498
china,shanghai,31.201999999999998,121.4491
china,shanxi,37.5777,112.2922
china,sichuan,30.6171,102.7103
china,tianjin,39.3054,117.323
china,tibet,31.6927,88.0924
china,xinjiang,41.1129,85.2401
