date,country,confirmed,deaths,recovered
2020-01-22,afghanistan,0,0,0.0
2020-01-22,albania,0,0,0.0
2020-01-22,algeria,0,0,0.0
2020-01-22,andorra,0,0,0.0
2020-01-22,angola,0,0,0.0
2020-01-22,antigua-and-barbuda,0,0,0.0
2020-01-22,argentina,0,0,0.0
2020-01-22,armenia,0,0,0.0
2020-01-22,australia,0,0,0.0
2020-01-22,austria,0,0,0.0
2020-01-22,azerbaijan,0,0,0.0
2020-01-22,bahamas,0,0,0.0
2020-01-22,bahrain,0,0,0.0
2020-01-22,bangladesh,0,0,0.0
2020-01-22,barbados,0,0,0.0
2020-01-22,belarus,0,0,0.0
2020-01-22,belgium,0,0,0.0
2020-01-22,belize,0,0,0.0
2020-01-22,benin,0,0,0.0
2020-01-22,bhutan,0,0,0.0
2020-01-22,bolivia,0,0,0.0
2020-01-22,bosnia-and-herzegovina,0,0,0.0
2020-01-22,botswana,0,0,0.0
2020-01-22,brazil,0,0,0.0
2020-01-22,brunei,0,0,0.0
2020-01-22,bulgaria,0,0,0.0
2020-01-22,burkina-faso,0,0,0.0
2020-01-22,burma,0,0,0.0
2020-01-22,burundi,0,0,0.0
2020-01-22,cabo-verde,0,0,0.0
2020-01-22,cambodia,0,0,0.0
2020-01-22,cameroon,0,0,0.0
2020-01-22,canada,0,0,0.0
2020-01-22,central-african-republic,0,0,0.0
2020-01-22,chad,0,0,0.0
2020-01-22,chile,0,0,0.0
2020-01-22,china,548,17,28.0
2020-01-22,colombia,0,0,0.0
2020-01-22,congo-brazzaville,0,0,0.0
2020-01-22,congo-kinshasa,0,0,0.0
2020-01-22,costa-rica,0,0,0.0
2020-01-22,cote-d-ivoire,0,0,0.0
2020-01-22,croatia,0,0,0.0
2020-01-22,cuba,0,0,0.0
2020-01-22,cyprus,0,0,0.0
2020-01-22,czechia,0,0,0.0
2020-01-22,denmark,0,0,0.0
2020-01-22,diamond-princess,0,0,0.0
2020-01-22,djibouti,0,0,0.0
2020-01-22,dominica,0,0,0.0
2020-01-22,dominican-republic,0,0,0.0
2020-01-22,ecuador,0,0,0.0
2020-01-22,egypt,0,0,0.0
2020-01-22,el-salvador,0,0,0.0
2020-01-22,equatorial-guinea,0,0,0.0
2020-01-22,eritrea,0,0,0.0
2020-01-22,estonia,0,0,0.0
2020-01-22,eswatini,0,0,0.0
2020-01-22,ethiopia,0,0,0.0
2020-01-22,fiji,0,0,0.0
2020-01-22,finland,0,0,0.0
2020-01-22,france,0,0,0.0
2020-01-22,gabon,0,0,0.0
2020-01-22,gambia,0,0,0.0
2020-01-22,georgia,0,0,0.0
2020-01-22,germany,0,0,0.0
2020-01-22,ghana,0,0,0.0
2020-01-22,greece,0,0,0.0
2020-01-22,grenada,0,0,0.0
2020-01-22,guatemala,0,0,0.0
2020-01-22,guinea,0,0,0.0
2020-01-22,guinea-bissau,0,0,0.0
