state,country,lat,long,date,confirmed,confirmed_new,deaths,deaths_new,recovered,recovered_new
,afghanistan,33.0,65.0,2020-03-27,110,16,4,0,2.0,0.0
,albania,41.1533,20.1683,2020-03-27,186,12,8,2,31.0,14.0
,algeria,28.0339,1.6596,2020-03-27,409,42,26,1,29.0,0.0
,andorra,42.5063,1.5218,2020-03-27,267,43,3,0,1.0,0.0
,angola,-11.2027,17.8739,2020-03-27,4,0,0,0,0.0,0.0
,antigua-and-barbuda,17.0608,-61.7964,2020-03-27,7,0,0,0,0.0,0.0
,argentina,-38.4161,-63.6167,2020-03-27,589,87,13,4,72.0,9.0
,armenia,40.0691,45.0382,2020-03-27,329,39,1,0,28.0,10.0
australian-capital-territory,australia,-35.4735,149.0124,2020-03-27,62,-169,0,-2,1.0,0.0
new-south-wales,australia,-33.8688,151.2093,2020-03-27,1405,1343,7,7,4.0,3.0
northern-territory,australia,-12.4634,130.8456,2020-03-27,12,-1393,0,-7,0.0,-4.0
queensland,australia,-28.0167,153.4,2020-03-27,555,543,1,1,8.0,8.0
south-australia,australia,-34.9285,138.6007,2020-03-27,257,-298,0,-1,6.0,-2.0
tasmania,australia,-41.4545,145.9707,2020-03-27,47,-210,0,0,3.0,-3.0
victoria,australia,-37.8136,144.9631,2020-03-27,574,527,3,3,171.0,168.0
western-australia,australia,-31.9505,115.8605,2020-03-27,231,-343,2,-1,1.0,-170.0
,austria,47.5162,14.5501,2020-03-27,7657,748,58,9,225.0,113.0
,azerbaijan,40.1431,47.5769,2020-03-27,165,43,3,0,15.0,0.0
,bahamas,25.0343,-77.3963,2020-03-27,10,1,0,0,1.0,0.0
,bahrain,26.0275,50.55,2020-03-27,466,8,4,0,227.0,23.0
,bangladesh,23.685,90.3563,2020-03-27,48,4,5,0,11.0,0.0
,barbados,13.1939,-59.5432,2020-03-27,24,6,0,0,0.0,0.0
,belarus,53.7098,27.9534,2020-03-27,94,8,0,0,32.0,3.0
,belgium,50.8333,4.0,2020-03-27,7284,1049,289,69,858.0,183.0
,belize,13.1939,-59.5432,2020-03-27,2,0,0,0,0.0,0.0
,benin,9.3077,2.3158,2020-03-27,6,0,0,0,0.0,0.0
,bhutan,27.5142,90.4336,2020-03-27,3,1,0,0,0.0,0.0
,bolivia,-16.2902,-63.5887,2020-03-27,61,18,0,0,0.0,0.0
,bosnia-and-herzegovina,43.9159,17.6791,2020-03-27,237,46,4,1,5.0,3.0
,botswana,-22.3285,24.6849,2020-03-27,0,0,0,0,0.0,0.0
,brazil,-14.235,-51.9253,2020-03-27,3417,432,92,15,6.0,0.0
,brunei,4.5353,114.7277,2020-03-27,115,1,0,0,11.0,6.0
,bulgaria,42.7339,25.4858,2020-03-27,293,29,3,0,9.0,1.0
,burkina-faso,12.2383,-1.5616,2020-03-27,180,28,9,2,12.0,2.0
,burma,21.9162,95.956,2020-03-27,8,8,0,0,0.0,0.0
,burundi,-3.3731,29.9189,2020-03-27,0,0,0,0,0.0,0.0
,cabo-verde,16.5388,-23.0418,2020-03-27,5,1,1,0,0.0,0.0
,cambodia,11.55,104.9167,2020-03-27,99,3,0,0,11.0,1.0
,cameroon,3.8480000000000003,11.5021,2020-03-27,91,16,2,1,2.0,0.0
alberta,canada,53.9333,-116.5765,2020-03-27,542,539,2,2,0.0,0.0
british-columbia,canada,49.2827,-123.1207,2020-03-27,725,183,14,12,0.0,0.0
grand-princess,canada,37.6489,-122.6655,2020-03-27,13,-712,0,-14,0.0,0.0
manitoba,canada,53.7609,-98.8139,2020-03-27,39,26,1,1,0.0,0.0
new-brunswick,canada,46.5653,-66.4619,2020-03-27,45,6,0,-1,0.0,0.0
newfoundland-and-labrador,canada,53.1355,-57.6604,2020-03-27,102,57,0,0,0.0,0.0
nova-scotia,canada,44.681999999999995,-63.7443,2020-03-27,90,-12,0,0,0.0,0.0
ontario,canada,51.2538,-85.3232,2020-03-27,994,904,18,18,0.0,0.0
prince-edward-island,canada,46.5107,-63.4168,2020-03-27,9,-985,0,-18,0.0,0.0
quebec,canada,52.9399,-73.5491,2020-03-27,2024,2015,18,18,0.0,0.0
saskatchewan,canada,52.9399,-106.4509,2020-03-27,95,-1929,0,-18,0.0,0.0
diamond-princess,canada,0.0,0.0,2020-03-27,0,-95,1,1,0.0,0.0
recovered,canada,0.0,0.0,2020-03-27,0,0,0,-1,0.0,0.0
northwest-territories,canada,64.8255,-124.8457,2020-03-27,1,1,0,0,0.0,0.0
yukon,canada,64.2823,-135.0,2020-03-27,3,2,0,0,0.0,0.0
,central-african-republic,6.6111,20.9394,2020-03-27,3,0,0,0,0.0,0.0
,chad,15.4542,18.7322,2020-03-27,3,0,0,0,0.0,0.0
,chile,-35.6751,-71.543,2020-03-27,1610,304,5,1,43.0,21.0
anhui,china,31.8257,117.2264,2020-03-27,990,-253,6,5,984.0,-238.0
